Genome,CAZyme rate,CAZyme count,Phylum
B11T1B5,0.008282127,31,Asgardarchaeota
B49T1B8,0.009164969,9,Thaumarchaeota
B6T1L6,0.006834911,13,Thaumarchaeota
B51T1B5,0.006593407,12,Thaumarchaeota
B2D1T2,0.003960396,6,Thaumarchaeota
B10T1B11,0.007088009,12,Thaumarchaeota
B15MC02,0.004878049,5,Thaumarchaeota
B56T1B5,0.006046863,8,Thaumarchaeota
B12D1T1,0.006433824,7,Thaumarchaeota
B15D1T2,0.005192108,5,Thaumarchaeota
B16T1B3,0.006018917,7,Thaumarchaeota
B10T1B5,0.00911641,13,Thaumarchaeota
B17T3L8,0.004861449,10,Thaumarchaeota
B12T1B11,0.005274725,12,Thaumarchaeota
B52T3L11,0.005211047,10,Thaumarchaeota
B19T1B10,0.006100041,15,Thaumarchaeota
B44T3L14,0.004067797,6,Thaumarchaeota
B7T1B11,0.008130081,22,Thaumarchaeota
B89T1L10,0.005311077,14,Thaumarchaeota
B10D1T1,0.002247191,3,Thaumarchaeota
B5T1L6,0.004582951,5,Thaumarchaeota
B1T1B5,0.015200869,28,Thaumarchaeota
B26D1T2,0.010739857,18,Thaumarchaeota
B79T1B8,0.011871114,42,Euryarchaeota
B58T1L10,0.009367681,8,Iainarchaeota
B62T1B5,0.014394581,17,Nanoarchaeota
B21T1B11,0.013026052,13,Nanoarchaeota
B14T1B11,0.016997167,12,Nanoarchaeota
B19T1B11,0.022253129,16,Nanoarchaeota
B8T1B11,0.012787724,15,Nanoarchaeota
B4T1B8,0.024654239,41,Nanoarchaeota
B28T3L8,0.009354537,10,Nanoarchaeota
B44T1L10,0.015320334,11,Nanoarchaeota
B32T1B5,0.02574103,99,Acidobacteriota
B51T1B8,0.021755725,57,Acidobacteriota
B25T1B10,0.025471981,85,Acidobacteriota
B23T1L6,0.028656494,77,Acidobacteriota
B13MC02,0.02433936,70,Acidobacteriota
B6T1B3,0.026283368,64,Acidobacteriota
B50T1B5,0.024314936,63,Acidobacteriota
B3D1T1,0.023855329,62,Acidobacteriota
B1D1T2,0.025984912,62,Acidobacteriota
B69T1B5,0.023447677,54,Acidobacteriota
B78T1B8,0.026498043,88,Acidobacteriota
B68T1B8,0.029035279,93,Acidobacteriota
B4T1B3,0.027251185,92,Acidobacteriota
B4D1T1,0.028582464,74,Acidobacteriota
B102T3L11,0.023889355,57,Acidobacteriota
B2MC02,0.020282187,46,Acidobacteriota
B23T1B8,0.032227186,101,Acidobacteriota
B66T1B5,0.033810539,111,Acidobacteriota
B71T1B8,0.027946537,115,Acidobacteriota
B69T1B8,0.025492862,75,Actinobacteriota
B15T1B10,0.015375689,53,Actinobacteriota
B22D1T2,0.018796992,55,Actinobacteriota
B86T1B8,0.017704918,54,Actinobacteriota
B3T1L10,0.015134736,41,Actinobacteriota
B63T1B5,0.012982054,34,Actinobacteriota
B11T1B8,0.010063559,19,Actinobacteriota
B20T1L6,0.013822435,26,Actinobacteriota
B77T1L10,0.013911891,42,Actinobacteriota
B15T3L11,0.011557178,19,Actinobacteriota
B5D1T2,0.011784512,35,Actinobacteriota
B85T1L10,0.013328256,35,Actinobacteriota
B14T1B3,0.013096352,28,Actinobacteriota
B15T1B8,0.011158138,29,Actinobacteriota
B31T1B5,0.026183644,73,Armatimonadota
B59T1B8,0.033158813,95,Armatimonadota
B14T1B8,0.032044584,92,Armatimonadota
B55T1L10,0.027792624,52,Armatimonadota
B12T1B10,0.024984577,81,Bacteroidota
B79T3L11,0.032999165,79,Bacteroidota
B29T1B8,0.025157233,68,Bacteroidota
B2T1B11,0.01715138,46,Bacteroidota
B34T3L8,0.032683329,119,Bacteroidota
B20T1B10,0.032195927,117,Bacteroidota
B97T1B8,0.032085561,108,Bacteroidota
B22T3L14,0.039131865,119,Bacteroidota
B93T1L10,0.027459954,72,Bacteroidota
B68T3L11,0.036658933,79,Bacteroidota
B92T1B8,0.018165707,41,Bacteroidota
B1T1B10,0.028938907,90,Bacteroidota
B13T1B10,0.036864407,87,Bacteroidota
B38T3L11,0.032560214,73,Bacteroidota
B52T1B8,0.036528029,101,Bacteroidota
B29T3L8,0.030390738,63,Bacteroidota
B65T1L10,0.030815109,62,Bacteroidota
B74T1L10,0.037222396,119,Bacteroidota
B54T1B5,0.037433155,133,Bacteroidota
B6T1B10,0.03254103,115,Bacteroidota
B47T1B8,0.036788321,126,Bacteroidota
B17D1T2,0.029411765,83,Bacteroidota
B6MC02,0.031704095,72,Bacteroidota
B24T3L14,0.032244378,76,Bacteroidota
B96T3L11,0.025954946,53,Bacteroidota
B14D1T1,0.025330004,71,Bacteroidota
B40T1B5,0.028275862,82,Bacteroidota
B25T1L10,0.029532967,86,Bacteroidota
B33T1B8,0.028640338,95,Bacteroidota
B26T1B8,0.030932031,76,Bacteroidota
B31T1B10,0.029871012,44,Bacteroidota
B13D1T2,0.023679417,91,Bacteroidota
B24T1B5,0.028397028,107,Bacteroidota
B7T1B5,0.02360515,66,Bacteroidota
B51T3L14,0.024505929,62,Bacteroidota
B47T3L11,0.024271845,50,Bacteroidota
B58T1B5,0.01223671,61,Binatota
B24D1T2,0.014400922,50,Binatota
B9D1T1,0.021480629,56,Binatota
B8T1B3,0.01647705,42,Binatota
B46T1B5,0.008210181,15,Binatota
B84T3L11,0.026315789,72,Chloroflexota
B88T1L10,0.030487805,95,Chloroflexota
B11T1B11,0.029776675,96,Chloroflexota
B29T1B10,0.025230276,63,Chloroflexota
B44T1B8,0.02254178,58,Chloroflexota
B29T1B5,0.022694524,63,Chloroflexota
B18T3L14,0.021454112,54,Chloroflexota
B79T1B5,0.017042837,37,Chloroflexota
B99T1L10,0.021122112,32,Chloroflexota
B19T1B8,0.016666667,47,Chloroflexota
B37T1L10,0.013965454,38,Chloroflexota
B41T1B8,0.013591433,33,Chloroflexota
B43T1L10,0.017536168,40,Chloroflexota
B17T1B5,0.012616822,27,Chloroflexota
B28T1B10,0.014693535,35,Chloroflexota
B4T3L11,0.016192071,29,Chloroflexota
B8T1L10,0.010702652,23,Chloroflexota
B39T3L11,0.014050388,29,Chloroflexota
B30T3L14,0.010463378,21,Chloroflexota
B10T3L11,0.014637392,22,Chloroflexota
B1T3L8,0.008992806,10,Chloroflexota
B47T1B5,0.020234604,69,Chloroflexota
B82T1L10,0.021187912,61,Chloroflexota
B38T1B5,0.016312595,43,Chloroflexota
B78T3L11,0.020559211,50,Chloroflexota
B15T3L14,0.018067557,46,Chloroflexota
B36T1B8,0.015536723,33,Chloroflexota
B69T3L14,0.020010005,40,Chloroflexota
B71T1L10,0.018464529,38,Chloroflexota
B42T3L11,0.019864088,38,Chloroflexota
B113T1L10,0.023642173,74,Chloroflexota
B17T3L14,0.022895386,65,Chloroflexota
B104T3L11,0.023988006,64,Chloroflexota
B2T3L11,0.015690777,41,Chloroflexota
B67T3L14,0.014579439,39,Chloroflexota
B80T3L11,0.023303988,45,Chloroflexota
B103T1B8,0.014407093,39,Chloroflexota
B46T1L10,0.022190063,46,Chloroflexota
B9T1B11,0.019699326,38,Chloroflexota
B67T1B5,0.019672131,42,Chloroflexota
B54T3L14,0.022419187,43,Chloroflexota
B36T3L8,0.020833333,26,Chloroflexota
B4T1B11,0.018551237,42,Chloroflexota
B8D1T2,0.017029703,43,Chloroflexota
B12T1L6,0.018246727,46,Chloroflexota
B64T1B5,0.020995801,35,Chloroflexota
B19D1T1,0.019207683,32,Chloroflexota
B9T1B3,0.013473054,18,Chloroflexota
B28T1L10,0.017682927,29,Chloroflexota
B27T3L8,0.022559475,55,Chloroflexota
B12T1L10,0.016676593,28,Chloroflexota
B66T1B8,0.020684736,29,Chloroflexota
B98T3L11,0.018518519,31,Chloroflexota
B22T3L11,0.023172906,39,Chloroflexota
B109T1L10,0.022001048,42,Chloroflexota
B16T1B8,0.020551144,44,Chloroflexota
B63T3L14,0.020774846,37,Chloroflexota
B72T3L11,0.015199493,24,Chloroflexota
B45T1L10,0.022590893,64,Chloroflexota
B76T1B5,0.020547945,57,Chloroflexota
B49T1L10,0.020440252,65,Chloroflexota
B85T3L11,0.022458146,55,Chloroflexota
B13T3L8,0.023497268,43,Chloroflexota
B39T3L8,0.020171674,47,Chloroflexota
B9T3L11,0.027752081,30,Chloroflexota
B49T1B5,0.025166543,34,Chloroflexota
B13T3L14,0.010775862,15,Chloroflexota
B19T3L11,0.01339014,22,Chloroflexota
B12T1B5,0.018220793,51,Chloroflexota
B50T3L14,0.016275549,43,Chloroflexota
B40T3L11,0.01597919,43,Chloroflexota
B54T1B8,0.020812353,62,Chloroflexota
B34T1B10,0.018471872,44,Chloroflexota
B102T1L10,0.014812002,39,Chloroflexota
B58T3L11,0.01163311,26,Chloroflexota
B89T3L11,0.014251781,30,Chloroflexota
B33T3L14,0.013888889,29,Chloroflexota
B7T3L14,0.011757426,19,Chloroflexota
B70T1L10,0.017891871,46,Chloroflexota
B35T1B5,0.014475271,36,Chloroflexota
B72T1B8,0.021095153,47,Chloroflexota
B44T3L11,0.020979021,51,Chloroflexota
B83T1L10,0.015668203,34,Chloroflexota
B9T3L14,0.015151515,36,Chloroflexota
B78T1L10,0.017565872,42,Chloroflexota
B10T3L14,0.011646374,22,Chloroflexota
B14T1B5,0.010464356,16,Chloroflexota
B37T1B10,0.015392509,30,Chloroflexota
B31T1L10,0.016969995,69,Chloroflexota
B28T3L11,0.016348774,60,Chloroflexota
B35T1L10,0.019847328,52,Chloroflexota
B43T3L11,0.019220209,35,Chloroflexota
B84T1B8,0.017337032,25,Chloroflexota
B26T1L10,0.025224455,59,Chloroflexota
B11T3L14,0.019222368,44,Chloroflexota
B101T3L11,0.020037279,43,Chloroflexota
B80T1B5,0.016853933,39,Chloroflexota
B73T1L10,0.015444015,40,Chloroflexota
B25T1B5,0.017560513,37,Chloroflexota
B107T1L10,0.020343293,32,Chloroflexota
B15T1B11,0.022066199,66,Chloroflexota
B64T1L10,0.023533204,73,Chloroflexota
B27T3L14,0.021231423,60,Chloroflexota
B11T3L11,0.019858156,56,Chloroflexota
B71T1B5,0.019313305,54,Chloroflexota
B30T1B5,0.02057776,52,Chloroflexota
B101T1B8,0.023607177,75,Chloroflexota
B16T3L8,0.017266716,47,Chloroflexota
B23T1L10,0.017241379,44,Chloroflexota
B74T3L11,0.014765101,22,Chloroflexota
B57T1L10,0.016615147,43,Dadabacteria
B48T1B5,0.024248814,46,Dadabacteria
B22T1L6,0.019835841,29,Dadabacteria
B55T1B5,0.021710812,50,Dadabacteria
B25T1L6,0.019631902,48,Dadabacteria
B95T1B8,0.026700805,73,Dadabacteria
B4D1T2,0.019874477,38,Dadabacteria
B98T1L10,0.036109493,62,GCA-001730085
B86T3L11,0.0272,51,GCA-001730085
B60T1B8,0.025033378,75,Gemmatimonadota
B3T1B10,0.029071492,98,Gemmatimonadota
B12T3L8,0.030067392,116,Gemmatimonadota
B74T1B5,0.030055442,103,Gemmatimonadota
B19T1L6,0.019973947,46,Gemmatimonadota
B76T3L11,0.029279279,91,Gemmatimonadota
B16T1B5,0.023448276,51,Gemmatimonadota
B97T1L10,0.031876438,97,Gemmatimonadota
B32T1L10,0.022909091,63,Gemmatimonadota
B13T1B8,0.020134228,36,Gemmatimonadota
B5D1T1,0.026989619,39,Gemmatimonadota
B6T1B5,0.017038008,78,Gemmatimonadota
B9T1L6,0.035986914,132,Gemmatimonadota
B18T1B8,0.04228243,103,Gemmatimonadota
B23T3L8,0.026677899,95,Gemmatimonadota
B89T1B8,0.02657555,105,Gemmatimonadota
B4T3L14,0.029411765,62,Gemmatimonadota
B93T3L11,0.029140359,120,Gemmatimonadota
B62T3L11,0.020750988,63,Gemmatimonadota
B101T1L10,0.022995283,78,Gemmatimonadota
B56T3L14,0.022769807,73,Gemmatimonadota
B5T1B3,0.017447199,57,Gemmatimonadota
B59T3L11,0.020463113,76,Hydrogenedentota
B26T3L8,0.023333333,56,Hydrogenedentota
B53T1L10,0.033777778,76,Hydrogenedentota
B26T3L14,0.036235803,67,Hydrogenedentota
B36T1L10,0.024973985,48,Hydrogenedentota
B8T1B8,0.022212544,51,Krumholzibacteriota
B77T1B5,0.02495032,113,KSB1
B70T1B8,0.02737467,83,KSB1
B4MC02,0.023631841,95,KSB1
B13T1L6,0.029481693,124,KSB1
B16T1L6,0.034044145,91,KSB1
B24T1B10,0.023471458,81,KSB1
B1D1T1,0.019417476,42,KSB1
B15T1B3,0.019518838,43,KSB1
B3T3L14,0.034164589,137,KSB1
B23T1B10,0.031637717,153,KSB1
B11D1T2,0.01993901,85,KSB1
B79T1L10,0.035392394,161,KSB1
B20T1L10,0.035747021,156,Latescibacterota
B25T3L8,0.025684932,60,Marinisomatota
B12T3L11,0.028660994,64,Marinisomatota
B65T3L11,0.023133117,57,Marinisomatota
B2T3L8,0.02339374,71,Marinisomatota
B30T1L10,0.019704433,40,Marinisomatota
B2T3L14,0.024280576,54,Marinisomatota
B81T1B5,0.023043687,48,Marinisomatota
B53T3L14,0.024536532,45,Marinisomatota
B9D1T2,0.017954298,33,Marinisomatota
B31T3L11,0.023959647,38,Marinisomatota
B5T1B10,0.029323308,39,Marinisomatota
B24T1B11,0.021505376,48,Marinisomatota
B8T1B10,0.021276596,58,Marinisomatota
B94T1B8,0.0202977,45,Marinisomatota
B10T1B10,0.01875617,57,Marinisomatota
B99T3L11,0.023160763,51,Marinisomatota
B56T1L10,0.021184609,49,Marinisomatota
B61T1L10,0.023076923,48,Marinisomatota
B48T3L11,0.020551144,44,Marinisomatota
B96T1B8,0.021097046,35,Marinisomatota
B29T1L10,0.02130898,42,Marinisomatota
B61T3L14,0.014953271,24,Marinisomatota
B28D1T2,0.018057285,29,Marinisomatota
B1T3L14,0.028149191,40,Marinisomatota
B4T1B10,0.025524476,73,Marinisomatota
B71T3L11,0.019874862,54,Marinisomatota
B42T1L10,0.017988253,49,Marinisomatota
B6T3L8,0.018175583,53,Marinisomatota
B83T3L11,0.015347334,38,Marinisomatota
B5MC02,0.02185141,55,Methylomirabilota
B8D1T1,0.019785189,70,Myxococcota
B61T1B5,0.023943318,98,Myxococcota
B87T1B8,0.022690438,70,Myxococcota
B3T1L6,0.023666952,83,Myxococcota
B19T1B5,0.016752577,39,Myxococcota
B7T1B8,0.017507295,42,Myxococcota
B22T1B5,0.018340068,59,Myxococcota
B75T1B5,0.017362169,57,Myxococcota
B12D1T2,0.018053375,46,Myxococcota
B43T1B5,0.026235243,60,Myxococcota
B58T1B8,0.02644041,67,Nitrospinota
B6D1T2,0.028651949,61,Nitrospinota
B13D1T1,0.027313266,49,Nitrospinota
B7MC02,0.024848892,37,Nitrospinota
B36T1B10,0.023178808,56,Nitrospinota
B2T1L10,0.028553499,91,Nitrospinota
B39T1L10,0.027639329,61,Nitrospinota
B20T3L14,0.01370614,25,Nitrospinota
B82T3L11,0.025935162,52,Nitrospinota
B26T1L6,0.024416517,68,Nitrospinota
B25T1B8,0.023783784,66,Nitrospinota
B13T1B3,0.022304833,60,Nitrospinota
B15D1T1,0.021582734,60,Nitrospinota
B7T1B10,0.020178502,52,Nitrospinota
B9T1B5,0.019179699,65,Nitrospinota
B21T3L8,0.024018945,71,Nitrospinota
B7D1T1,0.025099075,57,Nitrospirota
B21D1T2,0.020338983,54,Nitrospirota
B8MC02,0.017030335,32,Nitrospirota
B18T1B5,0.01845586,60,Nitrospirota
B48T1B8,0.016888151,61,Nitrospirota
B83T1B8,0.029991431,70,Nitrospirota
B1T3L11,0.024966262,37,Omnitrophota
B46T1B8,0.036363636,26,Patescibacteria
B9T1L10,0.029616725,34,Patescibacteria
B6T1L10,0.037278658,40,Patescibacteria
B18T3L11,0.039390089,31,Patescibacteria
B100T3L11,0.048165138,42,Patescibacteria
B72T1L10,0.067527309,68,Patescibacteria
B81T1L10,0.05158371,57,Patescibacteria
B55T1B8,0.076592083,89,Patescibacteria
B106T1L10,0.029029029,29,Patescibacteria
B90T1B8,0.029511918,26,Patescibacteria
B100T1L10,0.037518038,26,Patescibacteria
B16T1B11,0.019230769,13,Patescibacteria
B84T1L10,0.027118644,32,Patescibacteria
B63T1B8,0.022865854,15,Patescibacteria
B45T3L14,0.019969278,13,Patescibacteria
B32T3L8,0.013358779,7,Patescibacteria
B8T3L11,0.019704433,12,Patescibacteria
B19T1L10,0.010050251,6,Patescibacteria
B111T1L10,0.027818448,19,Patescibacteria
B91T3L11,0.013953488,9,Patescibacteria
B86T1L10,0.015172414,11,Patescibacteria
B45T3L11,0.017377567,11,Patescibacteria
B6T3L14,0.004555809,2,Patescibacteria
B5T1B11,0.022031824,18,Patescibacteria
B22T3L8,0.018754186,56,Planctomycetota
B27T3L11,0.015891473,41,Planctomycetota
B63T3L11,0.023160364,79,Planctomycetota
B4T1B5,0.021213249,57,Planctomycetota
B28T1B8,0.021462106,64,Planctomycetota
B104T1B8,0.023941606,82,Planctomycetota
B68T1L10,0.023923445,75,Planctomycetota
B3D1T2,0.017526121,52,Planctomycetota
B87T3L11,0.020462633,69,Planctomycetota
B27T1L10,0.022458969,78,Planctomycetota
B90T1L10,0.023141006,75,Planctomycetota
B67T1L10,0.021907651,65,Planctomycetota
B39T1B5,0.017602682,42,Planctomycetota
B32T3L14,0.023664638,70,Planctomycetota
B23T1B5,0.021094467,69,Planctomycetota
B18T1L6,0.022618668,71,Planctomycetota
B19T3L14,0.023034735,63,Planctomycetota
B35T3L8,0.021854071,62,Planctomycetota
B25T3L14,0.019184652,56,Planctomycetota
B31T1B8,0.025726536,54,Planctomycetota
B16T3L11,0.025477707,52,Planctomycetota
B8T1B5,0.017795139,41,Planctomycetota
B2T1B10,0.026581805,71,Planctomycetota
B1MC02,0.021496486,52,Planctomycetota
B52T3L14,0.019265503,32,Planctomycetota
B6D1T1,0.023378915,53,Planctomycetota
B58T3L14,0.053236876,287,Planctomycetota
B88T3L11,0.061269685,249,Planctomycetota
B3T3L8,0.067894131,236,Planctomycetota
B36T1B5,0.052642318,258,Planctomycetota
B38T1B10,0.041572526,92,Planctomycetota
B16T1L10,0.030656934,84,Planctomycetota
B100T1B8,0.033780299,131,Planctomycetota
B21T1B5,0.034705882,118,Planctomycetota
B60T1L10,0.027669016,106,Planctomycetota
B11T1L10,0.020684169,78,Planctomycetota
B87T1L10,0.023529412,62,Planctomycetota
B33T1L10,0.021449464,66,Planctomycetota
B5T3L8,0.02512044,73,Planctomycetota
B14T1B10,0.022900763,72,Planctomycetota
B76T1L10,0.02696011,98,Planctomycetota
B20T1B5,0.020465116,44,Planctomycetota
B63T1L10,0.023765996,65,Planctomycetota
B45T1B5,0.023245214,51,Planctomycetota
B15T3L8,0.02247191,66,Planctomycetota
B50T3L11,0.021409214,79,Planctomycetota
B3T1B8,0.020106689,98,Planctomycetota
B92T1L10,0.023486902,52,Planctomycetota
B13T3L11,0.019512195,56,Planctomycetota
B66T1L10,0.022997033,62,Planctomycetota
B73T1B8,0.023182711,59,Planctomycetota
B7T3L11,0.020979021,33,Planctomycetota
B27T1B5,0.037747921,118,Planctomycetota
B57T3L14,0.021505376,58,Planctomycetota
B34T1B5,0.017637178,63,Planctomycetota
B85T1B8,0.023888889,43,Planctomycetota
B66T3L11,0.022988506,34,Planctomycetota
B108T1L10,0.017319277,69,Planctomycetota
B17T1L10,0.017696268,55,Planctomycetota
B10T1L6,0.018813906,46,Planctomycetota
B73T3L11,0.023244782,49,Planctomycetota
B14T1L10,0.023240801,36,Planctomycetota
B22T1B8,0.030177659,124,Planctomycetota
B70T1B5,0.025252525,80,Planctomycetota
B10D1T2,0.018883086,47,Planctomycetota
B11T1B10,0.031635558,100,Planctomycetota
B75T1B8,0.023706117,131,Planctomycetota
B47T1L10,0.032302093,213,Planctomycetota
B103T1L10,0.029334116,100,Planctomycetota
B52T1L10,0.029469002,106,Planctomycetota
B78T1B5,0.02310231,112,Planctomycetota
B30T1B8,0.025240552,181,Poribacteria
B12T3L14,0.01456134,40,Proteobacteria
B16T1B10,0.015051395,41,Proteobacteria
B48T3L14,0.014565993,49,Proteobacteria
B102T1B8,0.011560694,24,Proteobacteria
B68T1B5,0.009136457,31,Proteobacteria
B3MC02,0.012672382,34,Proteobacteria
B20T1B11,0.012662137,41,Proteobacteria
B12T1B3,0.014412417,39,Proteobacteria
B18T1L10,0.011922959,39,Proteobacteria
B4T1L6,0.011600928,35,Proteobacteria
B15T1L10,0.015274034,68,Proteobacteria
B16D1T1,0.009094846,21,Proteobacteria
B33T3L11,0.014016968,38,Proteobacteria
B38T3L8,0.015255758,51,Proteobacteria
B13T1L10,0.017184203,57,Proteobacteria
B18D1T1,0.021631879,57,Proteobacteria
B9T3L8,0.02304316,63,Proteobacteria
B1T1B11,0.021969081,54,Proteobacteria
B35T3L14,0.022743682,63,Proteobacteria
B54T3L11,0.023440454,62,Proteobacteria
B18T3L8,0.019382911,49,Proteobacteria
B27T1B10,0.023255814,66,Proteobacteria
B75T1L10,0.020986359,60,Proteobacteria
B27D1T2,0.017980107,47,Proteobacteria
B10T1B3,0.019567456,38,Proteobacteria
B56T1B8,0.021229868,58,Proteobacteria
B64T3L14,0.015839041,37,Proteobacteria
B60T3L14,0.015848473,41,Proteobacteria
B33T3L8,0.020130851,40,Proteobacteria
B8T1L6,0.019740553,35,Proteobacteria
B110T1L10,0.013950323,41,Proteobacteria
B41T1L10,0.012924071,24,Proteobacteria
B67T1B8,0.015311005,32,Proteobacteria
B29T3L11,0.01293723,27,Proteobacteria
B37T1B8,0.014513788,30,Proteobacteria
B39T1B10,0.007755946,15,Proteobacteria
B26T1B10,0.013406157,27,Proteobacteria
B28T1B5,0.010555556,19,Proteobacteria
B26T1B5,0.011845387,19,Proteobacteria
B7T3L8,0.008843036,12,Proteobacteria
B82T1B8,0.036019536,118,Proteobacteria
B62T1B8,0.034957627,132,Proteobacteria
B25D1T2,0.022542831,50,Proteobacteria
B40T1L10,0.02111437,72,Proteobacteria
B91T1B8,0.023226877,56,Proteobacteria
B21D1T1,0.020113852,53,Proteobacteria
B7T1L6,0.018292683,57,Proteobacteria
B18T1B10,0.017211371,89,Proteobacteria
B19D1T2,0.021637675,51,Proteobacteria
B90T3L11,0.021388499,61,Proteobacteria
B42T3L14,0.022413793,52,Proteobacteria
B3T1B3,0.018484958,51,Proteobacteria
B73T1B5,0.021161417,43,Proteobacteria
B37T1B5,0.020863658,43,Proteobacteria
B10T1L10,0.018474374,31,Proteobacteria
B38T1L10,0.021681121,65,Proteobacteria
B44T1B5,0.018572566,70,Proteobacteria
B37T3L11,0.016088666,45,Proteobacteria
B17T1B10,0.013125513,32,Proteobacteria
B57T1B5,0.014786418,27,Proteobacteria
B5T1B8,0.023746702,54,Proteobacteria
B55T3L11,0.014137931,41,Proteobacteria
B57T1B8,0.017094017,30,Proteobacteria
B8T3L8,0.014819588,23,Proteobacteria
B22D1T1,0.015050167,45,Proteobacteria
B92T3L11,0.019630938,50,Proteobacteria
B5T1B5,0.02158572,52,Proteobacteria
B11T1B3,0.021665864,45,Proteobacteria
B14D1T2,0.020212228,40,Proteobacteria
B21T1L6,0.016970459,27,Proteobacteria
B20D1T1,0.023471279,38,Proteobacteria
B38T1B8,0.026666667,92,Proteobacteria
B105T1B8,0.02253923,79,Proteobacteria
B11D1T1,0.020217729,26,Proteobacteria
B43T3L14,0.016319444,47,Proteobacteria
B5T3L11,0.014452856,42,Proteobacteria
B24D1T1,0.019379845,50,Proteobacteria
B23T3L11,0.010964912,30,Proteobacteria
B19T1B3,0.012993763,25,Proteobacteria
B37T3L8,0.015051174,25,Proteobacteria
B22T1B10,0.017697182,81,Proteobacteria
B1T1B8,0.018477606,92,Proteobacteria
B3T1B5,0.016616314,55,Proteobacteria
B70T3L11,0.017359135,61,Proteobacteria
B24T1L10,0.018007203,45,Proteobacteria
B33T1B10,0.01623647,39,Proteobacteria
B38T3L14,0.018327974,57,Proteobacteria
B77T3L11,0.015684908,45,Proteobacteria
B66T3L14,0.020149496,62,Proteobacteria
B31T3L8,0.018026138,40,Proteobacteria
B17T1B8,0.020368194,52,Proteobacteria
B35T1B10,0.021022456,44,Proteobacteria
B13T1B11,0.018783542,42,Proteobacteria
B10T3L8,0.02005231,46,Proteobacteria
B40T1B8,0.018004501,48,Proteobacteria
B1T1B3,0.016494845,40,Proteobacteria
B75T3L11,0.020986745,57,Proteobacteria
B18D1T2,0.018369176,41,Proteobacteria
B32T1B10,0.015455305,37,Proteobacteria
B1T1L6,0.017426273,39,Proteobacteria
B15T1B5,0.01022864,17,Proteobacteria
B3T1B11,0.0158831,25,Proteobacteria
B91T1L10,0.021178283,55,Proteobacteria
B112T1L10,0.016393443,48,Proteobacteria
B41T3L11,0.020976492,58,Proteobacteria
B13T1B5,0.023340961,51,Proteobacteria
B64T3L11,0.020645161,48,Proteobacteria
B65T1B8,0.02158528,61,Proteobacteria
B39T1B8,0.019164619,39,Proteobacteria
B30T3L8,0.021905805,40,Proteobacteria
B65T1B5,0.016465423,30,Proteobacteria
B20D1T2,0.018663047,55,Proteobacteria
B2T1B3,0.016469595,39,Proteobacteria
B23D1T1,0.01631913,36,Proteobacteria
B42T1B8,0.020377358,81,Proteobacteria
B61T3L11,0.01799591,44,Proteobacteria
B29T3L14,0.022482893,69,Proteobacteria
B2T1B5,0.017893453,44,Proteobacteria
B93T1B8,0.019836136,46,Proteobacteria
B51T1L10,0.021318595,54,Proteobacteria
B45T1B8,0.020902613,44,Proteobacteria
B80T1B8,0.022352315,42,Proteobacteria
B59T3L14,0.015365704,25,Proteobacteria
B40T1B10,0.016225962,27,Proteobacteria
B3T3L11,0.012832551,41,Proteobacteria
B16D1T2,0.022735475,63,Proteobacteria
B33T1B5,0.022839072,65,Proteobacteria
B95T1L10,0.022868217,59,Proteobacteria
B46T3L11,0.021084337,56,Proteobacteria
B34T3L14,0.019133938,38,Proteobacteria
B24T1L6,0.017400761,32,Proteobacteria
B11T3L8,0.016258129,65,SAR324
B105T1L10,0.018237863,71,SAR324
B41T3L14,0.016444982,68,SAR324
B17T1L6,0.017091153,51,SAR324
B24T1B8,0.014948256,39,SAR324
B11T1L6,0.014705882,48,SAR324
B99T1B8,0.00949094,33,SAR324
B69T1L10,0.023819302,58,KSB1
B30T3L11,0.026374443,71,KSB1
B28T3L14,0.031807229,66,Sumerlaeota
B6T1B8,0.023809524,58,TA06
B9T1B8,0.010570825,15,UBP7
B9T1B10,0.015864023,28,UBP7_A
B17T1B11,0.023768366,55,Zixibacteria
B60T1B5,0.02366127,57,Zixibacteria
B77T1B8,0.024190242,59,Zixibacteria
B22T1B11,0.024924796,58,Zixibacteria
B21T1B10,0.026370004,64,Zixibacteria
B55T3L14,0.021961933,60,Zixibacteria
B23D1T2,0.023430962,56,Zixibacteria
B27T1B8,0.026327147,61,Zixibacteria
B48T1L10,0.021276596,39,Zixibacteria
B17T1B3,0.020719738,38,Zixibacteria
B22T1L10,0.022445363,38,Zixibacteria
B20T3L8,0.020833333,32,Zixibacteria
